period;reporterDesc;flowDesc;partnerDesc;classificationSearchCode;cmdCode;cmdDesc;primaryValue
2019;Russian Federation;Import;Afghanistan;S4;0;Food and live animals;4633711,14
2019;Russian Federation;Import;Albania;S4;0;Food and live animals;791,23
2019;Russian Federation;Import;Algeria;S4;0;Food and live animals;7124938,99
2019;Russian Federation;Import;Angola;S4;0;Food and live animals;123141,94
2019;Russian Federation;Import;Azerbaijan;S4;0;Food and live animals;552178587,1
2019;Russian Federation;Import;Argentina;S4;0;Food and live animals;639125755,5
2019;Russian Federation;Import;Australia;S4;0;Food and live animals;56504424,16
2019;Russian Federation;Import;Austria;S4;0;Food and live animals;145306442,5
2019;Russian Federation;Import;Bangladesh;S4;0;Food and live animals;11911811,37
2019;Russian Federation;Import;Armenia;S4;0;Food and live animals;140762600
2019;Russian Federation;Import;Belgium;S4;0;Food and live animals;172556764,1
2019;Russian Federation;Import;Bolivia (Plurinational State of);S4;0;Food and live animals;2191710,06
2019;Russian Federation;Import;Brazil;S4;0;Food and live animals;793765389,5
2019;Russian Federation;Import;Bulgaria;S4;0;Food and live animals;33007418,37
2019;Russian Federation;Import;Myanmar;S4;0;Food and live animals;10003437,74
2019;Russian Federation;Import;Belarus;S4;0;Food and live animals;3943447312
2019;Russian Federation;Import;Cambodia;S4;0;Food and live animals;2887065,6
2019;Russian Federation;Import;Canada;S4;0;Food and live animals;69828040,46
2019;Russian Federation;Import;Sri Lanka;S4;0;Food and live animals;136587547,2
2019;Russian Federation;Import;Chile;S4;0;Food and live animals;652131918,5
2019;Russian Federation;Import;China;S4;0;Food and live animals;1554889259
2019;Russian Federation;Import;Colombia;S4;0;Food and live animals;100245535,2
2019;Russian Federation;Import;Congo;S4;0;Food and live animals;111604,02
2019;Russian Federation;Import;Dem. Rep. of the Congo;S4;0;Food and live animals;149277,34
2019;Russian Federation;Import;Costa Rica;S4;0;Food and live animals;62861324,77
2019;Russian Federation;Import;Cuba;S4;0;Food and live animals;2099285,79
2019;Russian Federation;Import;Czechia;S4;0;Food and live animals;98211157,37
2019;Russian Federation;Import;Denmark;S4;0;Food and live animals;134179943,2
2019;Russian Federation;Import;Dominican Rep.;S4;0;Food and live animals;2720376,79
2019;Russian Federation;Import;Ecuador;S4;0;Food and live animals;1215349718
2019;Russian Federation;Import;El Salvador;S4;0;Food and live animals;560623,28
2019;Russian Federation;Import;Ethiopia;S4;0;Food and live animals;22638215,77
2019;Russian Federation;Import;Estonia;S4;0;Food and live animals;23362414,98
2019;Russian Federation;Import;Finland;S4;0;Food and live animals;82782495,22
2019;Russian Federation;Import;France;S4;0;Food and live animals;331772040,1
2019;Russian Federation;Import;Gabon;S4;0;Food and live animals;3263,67
2019;Russian Federation;Import;Georgia;S4;0;Food and live animals;54415773,77
2019;Russian Federation;Import;Germany;S4;0;Food and live animals;982797791,5
2019;Russian Federation;Import;Greece;S4;0;Food and live animals;19438062,3
2019;Russian Federation;Import;Greenland;S4;0;Food and live animals;40299326,83
2019;Russian Federation;Import;Grenada;S4;0;Food and live animals;42109,59
2019;Russian Federation;Import;Guyana;S4;0;Food and live animals;20895
2019;Russian Federation;Import;Honduras;S4;0;Food and live animals;18971387,14
2019;Russian Federation;Import;Iceland;S4;0;Food and live animals;9367872,32
2019;Russian Federation;Import;Indonesia;S4;0;Food and live animals;168231851,9
2019;Russian Federation;Import;Iran;S4;0;Food and live animals;453191173,4
2019;Russian Federation;Import;Iraq;S4;0;Food and live animals;13700
2019;Russian Federation;Import;Ireland;S4;0;Food and live animals;77151522,55
2019;Russian Federation;Import;Israel;S4;0;Food and live animals;257191445,1
2019;Russian Federation;Import;Italy;S4;0;Food and live animals;448576342,3
2019;Russian Federation;Import;Japan;S4;0;Food and live animals;27625068,53
2019;Russian Federation;Import;Kazakhstan;S4;0;Food and live animals;322073825
2019;Russian Federation;Import;Kenya;S4;0;Food and live animals;62909722,73
2019;Russian Federation;Import;Dem. People's Rep. of Korea;S4;0;Food and live animals;32759,08
2019;Russian Federation;Import;Rep. of Korea;S4;0;Food and live animals;93892503,18
2019;Russian Federation;Import;Kyrgyzstan;S4;0;Food and live animals;62076791
2019;Russian Federation;Import;Latvia;S4;0;Food and live animals;19727331,47
2019;Russian Federation;Import;Madagascar;S4;0;Food and live animals;8649241,6
2019;Russian Federation;Import;Malaysia;S4;0;Food and live animals;156754455,4
2019;Russian Federation;Import;Mali;S4;0;Food and live animals;145872,27
2019;Russian Federation;Import;Mexico;S4;0;Food and live animals;37969090,42
2019;Russian Federation;Import;Mongolia;S4;0;Food and live animals;969131,65
2019;Russian Federation;Import;Rep. of Moldova;S4;0;Food and live animals;227565654,9
2019;Russian Federation;Import;Morocco;S4;0;Food and live animals;315847454,8
2019;Russian Federation;Import;Mozambique;S4;0;Food and live animals;1904203,49
2019;Russian Federation;Import;Namibia;S4;0;Food and live animals;826670,31
2019;Russian Federation;Import;Nepal;S4;0;Food and live animals;707699,18
2019;Russian Federation;Import;Netherlands;S4;0;Food and live animals;415913827,5
2019;Russian Federation;Import;New Zealand;S4;0;Food and live animals;165889852,6
2019;Russian Federation;Import;Nicaragua;S4;0;Food and live animals;11465890,14
2019;Russian Federation;Import;Nigeria;S4;0;Food and live animals;43464727,55
2019;Russian Federation;Import;Norway;S4;0;Food and live animals;65619882,37
2019;Russian Federation;Import;Pakistan;S4;0;Food and live animals;113490213
2019;Russian Federation;Import;Panama;S4;0;Food and live animals;674945,43
2019;Russian Federation;Import;Papua New Guinea;S4;0;Food and live animals;4005700,23
2019;Russian Federation;Import;Paraguay;S4;0;Food and live animals;343426513,3
2019;Russian Federation;Import;Peru;S4;0;Food and live animals;159023345,2
2019;Russian Federation;Import;Poland;S4;0;Food and live animals;391163772,6
2019;Russian Federation;Import;Portugal;S4;0;Food and live animals;21529067,7
2019;Russian Federation;Import;Qatar;S4;0;Food and live animals;12989,56
2019;Russian Federation;Import;Romania;S4;0;Food and live animals;28124241,22
2019;Russian Federation;Import;Rwanda;S4;0;Food and live animals;3473690,33
2019;Russian Federation;Import;San Marino;S4;0;Food and live animals;880967,53
2019;Russian Federation;Import;Saudi Arabia;S4;0;Food and live animals;858664,36
2019;Russian Federation;Import;Senegal;S4;0;Food and live animals;3509755,68
2019;Russian Federation;Import;Serbia;S4;0;Food and live animals;322214899,2
2019;Russian Federation;Import;India;S4;0;Food and live animals;523661010,2
2019;Russian Federation;Import;Singapore;S4;0;Food and live animals;22595147,13
2019;Russian Federation;Import;Slovakia;S4;0;Food and live animals;26361496,64
2019;Russian Federation;Import;Viet Nam;S4;0;Food and live animals;473026985,3
2019;Russian Federation;Import;Slovenia;S4;0;Food and live animals;21647492,63
2019;Russian Federation;Import;Zimbabwe;S4;0;Food and live animals;2658034,03
2019;Russian Federation;Import;Spain;S4;0;Food and live animals;246072389
2019;Russian Federation;Import;Sudan;S4;0;Food and live animals;20781,5
2019;Russian Federation;Import;Sweden;S4;0;Food and live animals;70030971,77
2019;Russian Federation;Import;Switzerland;S4;0;Food and live animals;229622403,6
2019;Russian Federation;Import;Syria;S4;0;Food and live animals;5012676,63
2019;Russian Federation;Import;Tajikistan;S4;0;Food and live animals;3619087,31
2019;Russian Federation;Import;Thailand;S4;0;Food and live animals;156782260,5
2019;Russian Federation;Import;United Arab Emirates;S4;0;Food and live animals;22280124,28
2019;Russian Federation;Import;Tunisia;S4;0;Food and live animals;15600501,81
2019;Russian Federation;Import;Türkiye;S4;0;Food and live animals;1200152101
2019;Russian Federation;Import;Turkmenistan;S4;0;Food and live animals;16439793,04
2019;Russian Federation;Import;Uganda;S4;0;Food and live animals;7697791,14
2019;Russian Federation;Import;Ukraine;S4;0;Food and live animals;64466501,01
2019;Russian Federation;Import;Egypt;S4;0;Food and live animals;383690210,2
2019;Russian Federation;Import;United Kingdom;S4;0;Food and live animals;155654775
2019;Russian Federation;Import;Uruguay;S4;0;Food and live animals;162805083,7
2019;Russian Federation;Import;Uzbekistan;S4;0;Food and live animals;214741949,9
2019;Russian Federation;Import;Venezuela;S4;0;Food and live animals;356772,08
2019;Russian Federation;Import;Yemen;S4;0;Food and live animals;109926,28
2019;Russian Federation;Import;Zambia;S4;0;Food and live animals;9203,08
2019;Russian Federation;Import;Albania;S4;1;Beverages and tobacco;45526,43
2019;Russian Federation;Import;Azerbaijan;S4;1;Beverages and tobacco;22162881,53
2019;Russian Federation;Import;Argentina;S4;1;Beverages and tobacco;36565145,55
2019;Russian Federation;Import;Australia;S4;1;Beverages and tobacco;11581564,6
2019;Russian Federation;Import;Austria;S4;1;Beverages and tobacco;32571883,36
2019;Russian Federation;Import;Bangladesh;S4;1;Beverages and tobacco;9435366,26
2019;Russian Federation;Import;Armenia;S4;1;Beverages and tobacco;255367171
2019;Russian Federation;Import;Belgium;S4;1;Beverages and tobacco;48912675,48
2019;Russian Federation;Import;Brazil;S4;1;Beverages and tobacco;181979383,9
2019;Russian Federation;Import;Bulgaria;S4;1;Beverages and tobacco;17538542,17
2019;Russian Federation;Import;Belarus;S4;1;Beverages and tobacco;74006851
2019;Russian Federation;Import;Canada;S4;1;Beverages and tobacco;2556544,52
2019;Russian Federation;Import;Sri Lanka;S4;1;Beverages and tobacco;10106,15
2019;Russian Federation;Import;Chile;S4;1;Beverages and tobacco;45169170,17
2019;Russian Federation;Import;China;S4;1;Beverages and tobacco;42693680,91
2019;Russian Federation;Import;Colombia;S4;1;Beverages and tobacco;87297,9
2019;Russian Federation;Import;Costa Rica;S4;1;Beverages and tobacco;43329,52
2019;Russian Federation;Import;Cuba;S4;1;Beverages and tobacco;7908783,11
2019;Russian Federation;Import;Czechia;S4;1;Beverages and tobacco;42898741,34
2019;Russian Federation;Import;Denmark;S4;1;Beverages and tobacco;8435581,08
2019;Russian Federation;Import;Dominica;S4;1;Beverages and tobacco;20141,86
2019;Russian Federation;Import;Dominican Rep.;S4;1;Beverages and tobacco;9370444,62
2019;Russian Federation;Import;Ecuador;S4;1;Beverages and tobacco;2068189,06
2019;Russian Federation;Import;Estonia;S4;1;Beverages and tobacco;3209087,43
2019;Russian Federation;Import;Finland;S4;1;Beverages and tobacco;28424436,53
2019;Russian Federation;Import;France;S4;1;Beverages and tobacco;387149638,4
2019;Russian Federation;Import;Georgia;S4;1;Beverages and tobacco;250399945,8
2019;Russian Federation;Import;Germany;S4;1;Beverages and tobacco;214811598,1
2019;Russian Federation;Import;Greece;S4;1;Beverages and tobacco;15044927,9
2019;Russian Federation;Import;Guyana;S4;1;Beverages and tobacco;112385,48
2019;Russian Federation;Import;Honduras;S4;1;Beverages and tobacco;41305,54
2019;Russian Federation;Import;Iceland;S4;1;Beverages and tobacco;609533,62
2019;Russian Federation;Import;Indonesia;S4;1;Beverages and tobacco;3858864,27
2019;Russian Federation;Import;Iran;S4;1;Beverages and tobacco;1408628,34
2019;Russian Federation;Import;Ireland;S4;1;Beverages and tobacco;80924709,49
2019;Russian Federation;Import;Israel;S4;1;Beverages and tobacco;993495,68
2019;Russian Federation;Import;Italy;S4;1;Beverages and tobacco;515548663,4
2019;Russian Federation;Import;Japan;S4;1;Beverages and tobacco;8489203,78
2019;Russian Federation;Import;Kazakhstan;S4;1;Beverages and tobacco;15800204
2019;Russian Federation;Import;Kenya;S4;1;Beverages and tobacco;4387795,84
2019;Russian Federation;Import;Rep. of Korea;S4;1;Beverages and tobacco;44558807,27
2019;Russian Federation;Import;Kyrgyzstan;S4;1;Beverages and tobacco;508470
2019;Russian Federation;Import;Latvia;S4;1;Beverages and tobacco;11661998,04
2019;Russian Federation;Import;Malaysia;S4;1;Beverages and tobacco;234627,23
2019;Russian Federation;Import;Mexico;S4;1;Beverages and tobacco;60081755,2
2019;Russian Federation;Import;Mongolia;S4;1;Beverages and tobacco;232180,64
2019;Russian Federation;Import;Rep. of Moldova;S4;1;Beverages and tobacco;23275031,54
2019;Russian Federation;Import;Morocco;S4;1;Beverages and tobacco;11189,7
2019;Russian Federation;Import;Mozambique;S4;1;Beverages and tobacco;20947056,12
2019;Russian Federation;Import;Netherlands;S4;1;Beverages and tobacco;66122034,82
2019;Russian Federation;Import;New Zealand;S4;1;Beverages and tobacco;19938863,11
2019;Russian Federation;Import;Nicaragua;S4;1;Beverages and tobacco;425018,57
2019;Russian Federation;Import;Nigeria;S4;1;Beverages and tobacco;1351,56
2019;Russian Federation;Import;Norway;S4;1;Beverages and tobacco;792209,37
2019;Russian Federation;Import;Pakistan;S4;1;Beverages and tobacco;4534398,88
2019;Russian Federation;Import;Panama;S4;1;Beverages and tobacco;522898,63
2019;Russian Federation;Import;Peru;S4;1;Beverages and tobacco;21391,85
2019;Russian Federation;Import;Poland;S4;1;Beverages and tobacco;21814955,9
2019;Russian Federation;Import;Portugal;S4;1;Beverages and tobacco;29337516,22
2019;Russian Federation;Import;Qatar;S4;1;Beverages and tobacco;563,78
2019;Russian Federation;Import;Romania;S4;1;Beverages and tobacco;9464164,33
2019;Russian Federation;Import;Saudi Arabia;S4;1;Beverages and tobacco;140567,15
2019;Russian Federation;Import;Serbia;S4;1;Beverages and tobacco;15979883,43
2019;Russian Federation;Import;India;S4;1;Beverages and tobacco;74643381,93
2019;Russian Federation;Import;Slovakia;S4;1;Beverages and tobacco;1558239,09
2019;Russian Federation;Import;Viet Nam;S4;1;Beverages and tobacco;2776981,99
2019;Russian Federation;Import;Slovenia;S4;1;Beverages and tobacco;4233797,07
2019;Russian Federation;Import;Zimbabwe;S4;1;Beverages and tobacco;26878726,33
2019;Russian Federation;Import;Spain;S4;1;Beverages and tobacco;233332595,6
2019;Russian Federation;Import;Sweden;S4;1;Beverages and tobacco;20744400,91
2019;Russian Federation;Import;Switzerland;S4;1;Beverages and tobacco;28040648,2
2019;Russian Federation;Import;Thailand;S4;1;Beverages and tobacco;4594266,84
2019;Russian Federation;Import;United Arab Emirates;S4;1;Beverages and tobacco;3211252,99
2019;Russian Federation;Import;Türkiye;S4;1;Beverages and tobacco;26647002,2
2019;Russian Federation;Import;Uganda;S4;1;Beverages and tobacco;410820,28
2019;Russian Federation;Import;Ukraine;S4;1;Beverages and tobacco;2219306,69
2019;Russian Federation;Import;Egypt;S4;1;Beverages and tobacco;93734,01
2019;Russian Federation;Import;United Kingdom;S4;1;Beverages and tobacco;316707569,3
2019;Russian Federation;Import;Uruguay;S4;1;Beverages and tobacco;1324622,76
