refYear;reporterDesc;flowDesc;partnerDesc;classificationSearchCode;cmdCode;cmdDesc;primaryValue
2019;Russian Federation;Export;Afghanistan;S4;0;Food and live animals;2063498,32
2019;Russian Federation;Export;Albania;S4;0;Food and live animals;39775314,9
2019;Russian Federation;Export;Algeria;S4;0;Food and live animals;17410066,92
2019;Russian Federation;Export;Angola;S4;0;Food and live animals;20454564,26
2019;Russian Federation;Export;Azerbaijan;S4;0;Food and live animals;547473579,3
2019;Russian Federation;Export;Argentina;S4;0;Food and live animals;188250,66
2019;Russian Federation;Export;Australia;S4;0;Food and live animals;1830140,1
2019;Russian Federation;Export;Austria;S4;0;Food and live animals;2609142,42
2019;Russian Federation;Export;Bahrain;S4;0;Food and live animals;1814110,74
2019;Russian Federation;Export;Bangladesh;S4;0;Food and live animals;536186691
2019;Russian Federation;Export;Armenia;S4;0;Food and live animals;210109806
2019;Russian Federation;Export;Belgium;S4;0;Food and live animals;12782113,2
2019;Russian Federation;Export;Brazil;S4;0;Food and live animals;26075335,44
2019;Russian Federation;Export;Bulgaria;S4;0;Food and live animals;3786360,24
2019;Russian Federation;Export;Myanmar;S4;0;Food and live animals;2693470,25
2019;Russian Federation;Export;Belarus;S4;0;Food and live animals;1044414007
2019;Russian Federation;Export;Cambodia;S4;0;Food and live animals;785680,03
2019;Russian Federation;Export;Canada;S4;0;Food and live animals;6521819,12
2019;Russian Federation;Export;Central African Rep.;S4;0;Food and live animals;77436,87
2019;Russian Federation;Export;Sri Lanka;S4;0;Food and live animals;48228702,69
2019;Russian Federation;Export;Chile;S4;0;Food and live animals;1214975,2
2019;Russian Federation;Export;China;S4;0;Food and live animals;2159430961
2019;Russian Federation;Export;Colombia;S4;0;Food and live animals;40112,88
2019;Russian Federation;Export;Congo;S4;0;Food and live animals;25119878,01
2019;Russian Federation;Export;Dem. Rep. of the Congo;S4;0;Food and live animals;25882183,22
2019;Russian Federation;Export;Costa Rica;S4;0;Food and live animals;46870,06
2019;Russian Federation;Export;Cuba;S4;0;Food and live animals;113129,92
2019;Russian Federation;Export;Czechia;S4;0;Food and live animals;12713187,27
2019;Russian Federation;Export;Denmark;S4;0;Food and live animals;80828205,59
2019;Russian Federation;Export;Dominican Rep.;S4;0;Food and live animals;54870,55
2019;Russian Federation;Export;Ecuador;S4;0;Food and live animals;10981,39
2019;Russian Federation;Export;Equatorial Guinea;S4;0;Food and live animals;160400
2019;Russian Federation;Export;Ethiopia;S4;0;Food and live animals;12894241,53
2019;Russian Federation;Export;Estonia;S4;0;Food and live animals;21454527,76
2019;Russian Federation;Export;Finland;S4;0;Food and live animals;39387818,91
2019;Russian Federation;Export;France;S4;0;Food and live animals;36380267,59
2019;Russian Federation;Export;Gabon;S4;0;Food and live animals;1573800
2019;Russian Federation;Export;Georgia;S4;0;Food and live animals;243751347,5
2019;Russian Federation;Export;Gambia;S4;0;Food and live animals;8339301,73
2019;Russian Federation;Export;Germany;S4;0;Food and live animals;154426193,4
2019;Russian Federation;Export;Greece;S4;0;Food and live animals;47488499,23
2019;Russian Federation;Export;Iceland;S4;0;Food and live animals;87506,4
2019;Russian Federation;Export;Indonesia;S4;0;Food and live animals;77897826,6
2019;Russian Federation;Export;Iran;S4;0;Food and live animals;696014229,4
2019;Russian Federation;Export;Iraq;S4;0;Food and live animals;18348473,6
2019;Russian Federation;Export;Ireland;S4;0;Food and live animals;15410737,84
2019;Russian Federation;Export;Israel;S4;0;Food and live animals;127280475,9
2019;Russian Federation;Export;Italy;S4;0;Food and live animals;101166759,9
2019;Russian Federation;Export;Japan;S4;0;Food and live animals;326413496
2019;Russian Federation;Export;Kazakhstan;S4;0;Food and live animals;1383272519
2019;Russian Federation;Export;Kenya;S4;0;Food and live animals;101415857,8
2019;Russian Federation;Export;Dem. People's Rep. of Korea;S4;0;Food and live animals;7614051,84
2019;Russian Federation;Export;Rep. of Korea;S4;0;Food and live animals;1539228405
2019;Russian Federation;Export;Kuwait;S4;0;Food and live animals;501271,1
2019;Russian Federation;Export;Kyrgyzstan;S4;0;Food and live animals;188877181
2019;Russian Federation;Export;Latvia;S4;0;Food and live animals;311338860,5
2019;Russian Federation;Export;Liberia;S4;0;Food and live animals;2931980
2019;Russian Federation;Export;Libya;S4;0;Food and live animals;99828686,91
2019;Russian Federation;Export;Madagascar;S4;0;Food and live animals;6334421,98
2019;Russian Federation;Export;Malaysia;S4;0;Food and live animals;16975814,94
2019;Russian Federation;Export;Mali;S4;0;Food and live animals;21920202,99
2019;Russian Federation;Export;Malta;S4;0;Food and live animals;1341229,29
2019;Russian Federation;Export;Mexico;S4;0;Food and live animals;26923247,25
2019;Russian Federation;Export;Mongolia;S4;0;Food and live animals;131788130,8
2019;Russian Federation;Export;Rep. of Moldova;S4;0;Food and live animals;83501075,03
2019;Russian Federation;Export;Morocco;S4;0;Food and live animals;103694140,1
2019;Russian Federation;Export;Mozambique;S4;0;Food and live animals;53028838,74
2019;Russian Federation;Export;Oman;S4;0;Food and live animals;80881873,31
2019;Russian Federation;Export;Namibia;S4;0;Food and live animals;8535543,44
2019;Russian Federation;Export;Nepal;S4;0;Food and live animals;7858486,99
2019;Russian Federation;Export;Netherlands;S4;0;Food and live animals;907378654,3
2019;Russian Federation;Export;New Zealand;S4;0;Food and live animals;98440,85
2019;Russian Federation;Export;Nicaragua;S4;0;Food and live animals;21777463,11
2019;Russian Federation;Export;Nigeria;S4;0;Food and live animals;191700895,2
2019;Russian Federation;Export;Norway;S4;0;Food and live animals;85011252,93
2019;Russian Federation;Export;Pakistan;S4;0;Food and live animals;85243543,76
2019;Russian Federation;Export;Panama;S4;0;Food and live animals;70376,37
2019;Russian Federation;Export;Papua New Guinea;S4;0;Food and live animals;19277,08
2019;Russian Federation;Export;Paraguay;S4;0;Food and live animals;39067,23
2019;Russian Federation;Export;Peru;S4;0;Food and live animals;9981967,29
2019;Russian Federation;Export;Poland;S4;0;Food and live animals;62377870,86
2019;Russian Federation;Export;Portugal;S4;0;Food and live animals;4237440,59
2019;Russian Federation;Export;Qatar;S4;0;Food and live animals;26732297,79
2019;Russian Federation;Export;Romania;S4;0;Food and live animals;5358382,67
2019;Russian Federation;Export;Rwanda;S4;0;Food and live animals;12725883,91
2019;Russian Federation;Export;Saudi Arabia;S4;0;Food and live animals;298101509,6
